id,title,artist,genre,image_url
161,Lover Girl,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e02be1e41eda793059fb9129bff
162,From The Start,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0274c732f8aa0e0ccbb3d17d96
163,Lover Girl,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e028f68f6e65c1cfd36bb21561c
164,Valentine,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0248341e864d4b4881f56f01b4
165,Let You Break My Heart Again,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e029457bba66a2daf4456855bb7
166,What A Wonderful World,Louis Armstrong,jazz,https://i.scdn.co/image/ab67616d00001e02845a5660b804e5f3e821fbed
167,Falling Behind,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0248341e864d4b4881f56f01b4
168,Promise,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0274c732f8aa0e0ccbb3d17d96
169,Madwoman,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e026ec6bdb1b31c8cb6b1d3511f
170,Don't Know Why,Norah Jones,jazz,https://i.scdn.co/image/ab67616d00001e02c648a42b5dad72c8aafceeec
171,From The Start,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0210ee65ae464018c19c8e8ab4
172,bake shop,kuala,jazz,https://i.scdn.co/image/ab67616d00001e02540c6a5c78bd857c85bb256d
173,Silver Lining,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e028f68f6e65c1cfd36bb21561c
174,Fragile,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0248341e864d4b4881f56f01b4
175,L-O-V-E,Nat King Cole,jazz,https://i.scdn.co/image/ab67616d00001e028daeb3002870ebba8e8d1387
176,Bored,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0213832cc69a78c53b18a8bc10
177,Feeling Good,Nina Simone,jazz,https://i.scdn.co/image/ab67616d00001e02892abb1ade35b4863b29e051
178,Virtual Insanity - Remastered 2006,Jamiroquai,jazz,https://i.scdn.co/image/ab67616d00001e0243a58a3269fa18d1e4f8b5ca
179,Fly Me To The Moon (In Other Words),Frank Sinatra,jazz,https://i.scdn.co/image/ab67616d00001e02cb81eb3c1238c60f2bbfd3b5
180,Sunrise,Norah Jones,jazz,https://i.scdn.co/image/ab67616d00001e0264026be0e09c1beda2f67c32
181,deep in it,berlioz,jazz,https://i.scdn.co/image/ab67616d00001e027746e291c442b50b4dfe6806
182,I Wish You Love,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e02afe473a4a47a4e69ab174069
183,Magnolia,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e02afe473a4a47a4e69ab174069
184,La vie en rose - Single Version,Louis Armstrong,jazz,https://i.scdn.co/image/ab67616d00001e02cd1ea8639de6d3f827fba218
185,Second Best,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0274c732f8aa0e0ccbb3d17d96
186,Letter To My 13 Year Old Self,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0274c732f8aa0e0ccbb3d17d96
187,Dreamer,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0274c732f8aa0e0ccbb3d17d96
188,No One's Watching Me (feat. Olivia Dean),Ezra Collective,jazz,https://i.scdn.co/image/ab67616d00001e02e8e913bf1a4776a5fe27ce28
189,Lovesick,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0274c732f8aa0e0ccbb3d17d96
190,Unforgettable,Nat King Cole,jazz,https://i.scdn.co/image/ab67616d00001e02fdd261528e3590ac36bb85f0
191,Forget-Me-Not,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e028f68f6e65c1cfd36bb21561c
192,Lone Digger,Caravan Palace,jazz,https://i.scdn.co/image/ab67616d00001e025b1b0855f9c7c1276984dc7f
193,Castle in Hollywood,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e028f68f6e65c1cfd36bb21561c
194,Like the Movies,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e02afe473a4a47a4e69ab174069
195,Goddess,Laufey,jazz,https://i.scdn.co/image/ab67616d00001e0213832cc69a78c53b18a8bc10
196,Take Five,The Dave Brubeck Quartet,jazz,https://i.scdn.co/image/ab67616d00001e02b6bd44cf06bf8f4d5ce1e080
197,I'll Be Seeing You,Billie Holiday,jazz,https://i.scdn.co/image/ab67616d00001e02f8743d2c7812763f7f66e83b
198,Everything,Michael Bublé,jazz,https://i.scdn.co/image/ab67616d00001e022ceedc8c879a1f6784fbeef5
199,Time,Olivia Dean,jazz,https://i.scdn.co/image/ab67616d00001e026f9c61b26197548ff3a5bd9e
200,Turn Me On,Norah Jones,jazz,https://i.scdn.co/image/ab67616d00001e02c648a42b5dad72c8aafceeec
201,Tá Legal II,Hari Maia,synthwave,https://i.scdn.co/image/ab67616d00001e02d03603b908c53c4411ddf8bd
202,Rt 124: Desert Divide,Makeup And Vanity Set,synthwave,https://i.scdn.co/image/ab67616d00001e02f9be608c47cc6487d76daefb
203,Money and Run,Cybass,synthwave,https://i.scdn.co/image/ab67616d00001e02ff6384fb2dc60f90c0088e6b
204,Rt 56: Machine Mountain,Makeup And Vanity Set,synthwave,https://i.scdn.co/image/ab67616d00001e02f9be608c47cc6487d76daefb
205,Ghost of Dickens,Absinth3,synthwave,https://i.scdn.co/image/ab67616d00001e0257d1dc99f269c52ed457e48d
206,It's Over (Audio Log),Megahit,synthwave,https://i.scdn.co/image/ab67616d00001e0253cf421d1d26bd971deb4ced
207,Chatsubo,Cybass,synthwave,https://i.scdn.co/image/ab67616d00001e02ff6384fb2dc60f90c0088e6b
208,Mistah Boom,Cybass,synthwave,https://i.scdn.co/image/ab67616d00001e02eff7bd5dfc7ad5ef282549b6
209,The Horror,Baldocaster,synthwave,https://i.scdn.co/image/ab67616d00001e02f040c4a123e07c979fa887a6
210,Ident I,Baldocaster,synthwave,https://i.scdn.co/image/ab67616d00001e02f5d80cd5a64b5485a4d06efa
211,Kitchen Floor (From Now On),Mecha Maiko,synthwave,https://i.scdn.co/image/ab67616d00001e0291fa81f02a202d1f0993b65d
212,Confuse,Cleeve Morris,synthwave,https://i.scdn.co/image/ab67616d00001e02e0875bf11877bc9fc38fb882
213,Gimme a Dubplate,Cybass,synthwave,https://i.scdn.co/image/ab67616d00001e02ff6384fb2dc60f90c0088e6b
214,Exhale,Andrew Southworth,synthwave,https://i.scdn.co/image/ab67616d00001e02acf81ed7fb8797b8a8e39dc6
215,Video,Duett,synthwave,https://i.scdn.co/image/ab67616d00001e02a4b869bc2a37fef43dbaedfc
216,misery.,pupsies,synthwave,https://i.scdn.co/image/ab67616d00001e02316b7fde50dfbf4be72735c2
217,Way Too Self Aware,Ian Asher,synthwave,https://i.scdn.co/image/ab67616d00001e0239b3af17fac3a518c49e86ea
218,Titanium (feat. Sia),David Guetta,synthwave,https://i.scdn.co/image/ab67616d00001e0287e2f8346625bb6fd20d52be
219,Lean On,Major Lazer,synthwave,https://i.scdn.co/image/ab67616d00001e02d6d24aee7b49a2db98a76856
220,Feel So Close - Radio Edit,Calvin Harris,synthwave,https://i.scdn.co/image/ab67616d00001e02dcef905cb144d4867119850b
221,Summer,Calvin Harris,synthwave,https://i.scdn.co/image/ab67616d00001e028fba5806a323efd272677c4d
222,Outside (feat. Ellie Goulding),Calvin Harris,synthwave,https://i.scdn.co/image/ab67616d00001e028fba5806a323efd272677c4d
223,Wake Me Up,Avicii,synthwave,https://i.scdn.co/image/ab67616d00001e02e14f11f796cef9f9a82691a7
224,Clarity,Zedd,synthwave,https://i.scdn.co/image/ab67616d00001e02941dd3b3343d9cb9329d37bf
225,P.Y.T. (Pretty Young Thing),Michael Jackson,synthwave,https://i.scdn.co/image/ab67616d00001e0232a7d87248d1b75463483df5
226,Black Out Days (Stay Away),Ian Asher,synthwave,https://i.scdn.co/image/ab67616d00001e0253ab70a27d58af286ce9eb91
227,Take Me (To The Moon),Ian Asher,synthwave,https://i.scdn.co/image/ab67616d00001e0264bb7d8be3e9d9f69310edfb
228,The Nights,Avicii,synthwave,https://i.scdn.co/image/ab67616d00001e020ae4f4d42e4a09f3a29f64ad
229,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,synthwave,https://i.scdn.co/image/ab67616d00001e021db27fa11dbafa67857da8f3
230,The Days - NOTION Remix,Chrystal,synthwave,https://i.scdn.co/image/ab67616d00001e029041b9965925059507fb44af
